ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
IOLJTTS,0,,,
LSIJZTO,0,,,
LZSOJTI,0,,,
TLITSJZ,1,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeVQYaAFLDmClcJSAVDEHB?EooRBUoAVBM+9tCqXBAAvhFqpBZkBlsB3lBGoBUqB
JOSZTTL,0,,,
JOTSLIT,0,,,
OTSTZIJ,0,,,
LTSZTJO,0,,,
ZOLTJSI,0,,,
TJLISOZ,0,,,
LOZITTS,0,,,
STZITJL,1,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpO+tCqCBAAvhFxuB1uBlsB3qBGtBipB
ZOSTLIJ,0,,,
OZTLTSJ,0,,,
STOLIJT,0,,,
OSTZJIT,0,,,
SJTTOLI,0,,,
ITJSLTO,0,,,
JSLOTIT,0,,,
LOJIZST,0,,,
TLSTIOZ,1,TTILSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeVQYaAFLDmClcJSAVDEHB?EooRBUoAVBM+dgCzXBAAvhFqpBZkB9sBToB3lBUqB
TJLTIOZ,0,,,
LJZIOTS,0,,,
TSZITJO,1,TTIJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBp+TxCKHBAAvhFxuBlsB3lBNpBGoBzpB
TJOIZLT,0,,,
SLJZTTO,0,,,
TZITJSO,2,TTIJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBU+dgCz/AAAvhFVvBZkB9sBToB3lBupB;v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBp+TxCKHBAAvhFxuBlsB3lBNpBGoBzpB
ILTOJZS,0,,,
IOLTJSZ,0,,,
JSTZLIT,0,,,
TLZSTOJ,0,,,
TJLZOIT,0,,,
TZTJSLO,0,,,
OIJZTSL,0,,,
JSTTZIL,0,,,
OTSLZJI,0,,,
TOLTSIJ,0,,,
OSTILZJ,0,,,
LSOTIJZ,0,,,
LOTSJIZ,0,,,
ZTLSTJO,0,,,
ITLJSTZ,2,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpO+tCqCBAAvhFxuB1uBlsB3qBGtBipB;v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpOstCqOBAAvhFxuBlsBKpBfqBGtBlqB
JIZLOTT,0,,,
TSTOZIJ,0,,,
OSZITJL,0,,,
TTZOJIS,0,,,
TJZTSLI,0,,,
ZTSTILO,0,,,
IJTZSLT,0,,,
TSOILJZ,0,,,
TLITZJS,1,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeVQYaAFLDmClcJSAVDEHB?EooRBUoAVBM+lFDKNBAAvhFqpBZkBlsBUlBGoB3qB
OIZJTSL,0,,,
LTJOSZI,0,,,
ZJTTLOS,0,,,
JZLOTSI,0,,,
TOZIJTL,0,,,
ZJOTILT,0,,,
JOZSTTI,0,,,
